Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1000","0.0007","0.0000"
"0.2000","0.0074","0.0000"
"0.3000","0.0155","0.0000"
"0.4000","0.0229","0.0000"
"0.5000","0.0315","0.0000"
"0.6000","0.0402","0.0000"
"0.7000","0.0495","0.0000"
"0.8000","0.0573","0.0000"
"0.9000","0.0664","0.0000"
"1.0000","0.0740","0.0000"
"1.1000","0.0817","0.0000"
"1.2000","0.0903","0.0000"
"1.3000","0.1000","0.0000"
"1.4000","0.1078","0.0000"
"1.5000","0.1162","0.0000"
"1.6000","0.1242","0.0001"
"1.7000","0.1314","0.0000"
"1.8000","0.1398","0.0000"
"1.9000","0.1491","0.0001"
"2.0000","0.1576","0.0001"
"2.1000","0.1659","0.0001"
"2.2000","0.1744","0.0001"
"2.3000","0.1812","0.0001"
"2.4000","0.1896","0.0001"
"2.5000","0.1988","0.0001"
"2.6000","0.2079","0.0001"
"2.7000","0.2160","0.0001"
"2.8000","0.2249","0.0001"
"2.9000","0.2319","0.0001"
"3.0000","0.2403","0.0001"
"3.1000","0.2495","0.0001"
"3.2000","0.2584","0.0001"
"3.3000","0.2658","0.0001"
"3.4000","0.2747","0.0001"
"3.5000","0.2823","0.0001"
"3.6000","0.2901","0.0001"
"3.7000","0.2984","0.0001"
"3.8000","0.3077","0.0001"
"3.9000","0.3161","0.0001"
"4.0000","0.3247","0.0001"
"4.1000","0.3327","0.0001"
"4.2000","0.3397","0.0002"
"4.3000","0.3481","0.0002"
"4.4000","0.3575","0.0002"
"4.5000","0.3659","0.0002"
"4.6000","0.3743","0.0002"
"4.7000","0.3829","0.0002"
"4.8000","0.3902","0.0002"
"4.9000","0.3989","0.0002"
"5.0000","0.4079","0.0002"
"5.1000","0.4166","0.0002"
"5.2000","0.4242","0.0002"
"5.3000","0.4328","0.0002"
"5.4000","0.4400","0.0002"
"5.5000","0.4485","0.0002"
"5.6000","0.4576","0.0002"
"5.7000","0.4665","0.0002"
"5.8000","0.4743","0.0002"
"5.9000","0.4834","0.0002"
"6.0000","0.4907","0.0002"
"6.1000","0.4984","0.0002"
"6.2000","0.5065","0.0002"
"6.3000","0.5158","0.0002"
"6.4000","0.5241","0.0003"
"6.5000","0.5329","0.0003"
"6.6000","0.5410","0.0003"
"6.7000","0.5480","0.0003"
"6.8000","0.5570","0.0003"
"6.9000","0.5670","0.0003"
"7.0000","0.5752","0.0003"
"7.1000","0.5833","0.0003"
"7.2000","0.5914","0.0003"
"7.3000","0.5983","0.0003"
"7.4000","0.6071","0.0003"
"7.5000","0.6161","0.0003"
"7.6000","0.6250","0.0003"
"7.7000","0.6325","0.0003"
"7.8000","0.6416","0.0003"
"7.9000","0.6488","0.0003"
"8.0000","0.6572","0.0003"
"8.1000","0.6655","0.0003"
"8.2000","0.6738","0.0003"
"8.3000","0.6816","0.0003"
"8.4000","0.6910","0.0004"
"8.5000","0.6989","0.0004"
"8.6000","0.7067","0.0004"
"8.7000","0.7155","0.0004"
"8.8000","0.7252","0.0004"
"8.9000","0.7334","0.0004"
"9.0000","0.7417","0.0004"
"9.1000","0.7491","0.0004"
"9.2000","0.7558","0.0004"
"9.3000","0.7644","0.0004"
"9.4000","0.7743","0.0004"
"9.5000","0.7832","0.0004"
"9.6000","0.7915","0.0004"
"9.7000","0.7996","0.0005"
"9.8000","0.8065","0.0005"
"9.9000","0.8153","0.0005"
"10.0000","0.8246","0.0005"
"10.1000","0.8331","0.0005"
"10.2000","0.8405","0.0005"
"10.3000","0.8494","0.0005"
"10.4000","0.8566","0.0005"
"10.5000","0.8655","0.0005"
"10.6000","0.8747","0.0005"
"10.7000","0.8835","0.0005"
"10.8000","0.8911","0.0005"
"10.9000","0.9003","0.0005"
"11.0000","0.9075","0.0005"
"11.1000","0.9152","0.0006"
"11.2000","0.9233","0.0006"
"11.3000","0.9320","0.0006"
"11.4000","0.9403","0.0006"
"11.5000","0.9492","0.0006"
"11.6000","0.9573","0.0006"
