Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0097","0.0003"
"0.1000","0.0101","0.0003"
"0.2000","0.0134","0.0003"
"0.3000","0.0217","0.0003"
"0.4000","0.0297","0.0003"
"0.5000","0.0393","0.0003"
"0.6000","0.0465","0.0003"
"0.7000","0.0546","0.0004"
"0.8000","0.0629","0.0004"
"0.9000","0.0719","0.0004"
"1.0000","0.0800","0.0004"
"1.1000","0.0890","0.0004"
"1.2000","0.0965","0.0004"
"1.3000","0.1042","0.0004"
"1.4000","0.1124","0.0004"
"1.5000","0.1219","0.0004"
"1.6000","0.1302","0.0004"
"1.7000","0.1386","0.0004"
"1.8000","0.1467","0.0004"
"1.9000","0.1539","0.0005"
"2.0000","0.1622","0.0005"
"2.1000","0.1717","0.0005"
"2.2000","0.1803","0.0005"
"2.3000","0.1885","0.0005"
"2.4000","0.1970","0.0005"
"2.5000","0.2041","0.0005"
"2.6000","0.2129","0.0005"
"2.7000","0.2222","0.0005"
"2.8000","0.2311","0.0006"
"2.9000","0.2387","0.0006"
"3.0000","0.2473","0.0006"
"3.1000","0.2544","0.0006"
"3.2000","0.2627","0.0006"
"3.3000","0.2713","0.0006"
"3.4000","0.2807","0.0006"
"3.5000","0.2883","0.0006"
"3.6000","0.2969","0.0006"
"3.7000","0.3044","0.0006"
"3.8000","0.3122","0.0006"
"3.9000","0.3209","0.0007"
"4.0000","0.3304","0.0007"
"4.1000","0.3388","0.0007"
"4.2000","0.3477","0.0007"
"4.3000","0.3556","0.0007"
"4.4000","0.3626","0.0007"
"4.5000","0.3712","0.0007"
"4.6000","0.3806","0.0007"
"4.7000","0.3892","0.0007"
"4.8000","0.3967","0.0008"
"4.9000","0.4052","0.0008"
"5.0000","0.4122","0.0008"
"5.1000","0.4207","0.0008"
"5.2000","0.4300","0.0008"
"5.3000","0.4387","0.0008"
"5.4000","0.4465","0.0008"
"5.5000","0.4557","0.0008"
"5.6000","0.4629","0.0008"
"5.7000","0.4712","0.0008"
"5.8000","0.4797","0.0009"
"5.9000","0.4890","0.0009"
