Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.2876","0.0000"
"0.0200","0.2871","0.0000"
"0.0400","0.2755","0.0000"
"0.0600","0.2331","0.0000"
"0.0800","0.1684","0.0000"
"0.1000","0.1034","0.0000"
"0.1200","0.0443","0.0000"
"0.1400","-0.0135","-0.0001"
"0.1600","-0.0721","0.0000"
"0.1800","-0.1306","-0.0001"
"0.2000","-0.1890","-0.0001"
"0.2200","-0.2483","-0.0001"
"0.2400","-0.3081","-0.0001"
"0.2600","-0.3679","-0.0001"
"0.2800","-0.4273","-0.0001"
"0.3000","-0.4865","-0.0001"
"0.3200","-0.5458","-0.0001"
"0.3400","-0.6053","-0.0001"
"0.3600","-0.6656","-0.0001"
"0.3800","-0.7254","-0.0001"
"0.4000","-0.7851","-0.0001"
"0.4200","-0.8450","-0.0001"
"0.4400","-0.9051","-0.0002"
"0.4600","-0.9655","-0.0002"
"0.4800","-1.0253","-0.0002"
"0.5000","-1.0852","-0.0002"
"0.5200","-1.1452","-0.0002"
"0.5400","-1.2048","-0.0002"
"0.5600","-1.2651","-0.0002"
"0.5800","-1.3255","-0.0002"
"0.6000","-1.3852","-0.0002"
"0.6200","-1.4449","-0.0002"
"0.6400","-1.5042","-0.0003"
"0.6600","-1.5640","-0.0003"
"0.6800","-1.6246","-0.0003"
"0.7000","-1.6848","-0.0003"
"0.7200","-1.7447","-0.0003"
"0.7400","-1.8043","-0.0003"
"0.7600","-1.8642","-0.0003"
"0.7800","-1.9248","-0.0003"
"0.8000","-1.9849","-0.0003"
"0.8200","-2.0445","-0.0003"
"0.8400","-2.1044","-0.0003"
"0.8600","-2.1646","-0.0003"
"0.8800","-2.2253","-0.0004"
"0.9000","-2.2855","-0.0004"
"0.9200","-2.3454","-0.0004"
"0.9400","-2.4050","-0.0004"
"0.9600","-2.4644","-0.0004"
"0.9800","-2.5249","-0.0004"
"1.0000","-2.5854","-0.0004"
"1.0200","-2.6452","-0.0004"
"1.0400","-2.7047","-0.0004"
"1.0600","-2.7643","-0.0004"
"1.0800","-2.8246","-0.0004"
"1.1000","-2.8849","-0.0004"
"1.1200","-2.9449","-0.0005"
"1.1400","-3.0048","-0.0005"
"1.1600","-3.0643","-0.0005"
"1.1800","-3.1245","-0.0005"
"1.2000","-3.1848","-0.0005"
"1.2200","-3.2445","-0.0005"
"1.2400","-3.3043","-0.0005"
"1.2600","-3.3643","-0.0005"
"1.2800","-3.4247","-0.0005"
"1.3000","-3.4852","-0.0005"
"1.3200","-3.5452","-0.0006"
"1.3400","-3.6050","-0.0006"
"1.3600","-3.6649","-0.0006"
"1.3800","-3.7246","-0.0006"
"1.4000","-3.7852","-0.0006"
"1.4200","-3.8454","-0.0006"
"1.4400","-3.9048","-0.0006"
"1.4600","-3.9643","-0.0006"
"1.4800","-4.0240","-0.0006"
"1.5000","-4.0841","-0.0006"
"1.5200","-4.1445","-0.0006"
"1.5400","-4.2045","-0.0006"
"1.5600","-4.2645","-0.0007"
"1.5800","-4.3240","-0.0007"
"1.6000","-4.3840","-0.0007"
"1.6200","-4.4446","-0.0007"
"1.6400","-4.5047","-0.0007"
"1.6600","-4.5646","-0.0007"
"1.6800","-4.6243","-0.0007"
"1.7000","-4.6844","-0.0007"
"1.7200","-4.7447","-0.0007"
"1.7400","-4.8046","-0.0007"
"1.7600","-4.8645","-0.0008"
"1.7800","-4.9246","-0.0008"
"1.8000","-4.9847","-0.0008"
"1.8200","-5.0452","-0.0008"
"1.8400","-5.1055","-0.0008"
"1.8600","-5.1650","-0.0008"
"1.8800","-5.2247","-0.0008"
"1.9000","-5.2843","-0.0008"
"1.9200","-5.3446","-0.0008"
"1.9400","-5.4047","-0.0009"
"1.9600","-5.4647","-0.0009"
"1.9800","-5.5246","-0.0009"
"2.0000","-5.5843","-0.0009"
"2.0200","-5.6447","-0.0009"
"2.0400","-5.7050","-0.0009"
"2.0600","-5.7647","-0.0009"
"2.0800","-5.8246","-0.0009"
"2.1000","-5.8844","-0.0009"
"2.1200","-5.9449","-0.0009"
