1,Time,Force,Flexure displacement,Flexure stress
,(s),(N),(mm),(MPa)
"","0.0000","0.5272","0.0000","0.2960"
"","0.0200","0.5136","0.0001","0.2884"
"","0.0400","0.5216","0.0008","0.2929"
"","0.0600","0.5521","0.0027","0.3100"
"","0.0800","0.5932","0.0075","0.3330"
"","0.1000","0.6875","0.0172","0.3859"
"","0.1170","0.7900","0.0286","0.4435"
"","0.1350","0.8924","0.0414","0.5010"
"","0.1520","0.9928","0.0532","0.5574"
"","0.1700","1.0949","0.0652","0.6147"
"","0.1900","1.1895","0.0777","0.6678"
"","0.2100","1.2878","0.0902","0.7230"
"","0.2280","1.3878","0.1026","0.7791"
"","0.2440","1.4899","0.1139","0.8364"
"","0.2630","1.5924","0.1267","0.8940"
"","0.2830","1.6914","0.1393","0.9496"
"","0.3020","1.7958","0.1520","1.0082"
"","0.3200","1.8989","0.1647","1.0661"
"","0.3380","2.0018","0.1770","1.1238"
"","0.3580","2.0931","0.1898","1.1751"
"","0.3770","2.1960","0.2019","1.2329"
"","0.3970","2.2921","0.2152","1.2868"
"","0.4170","2.3922","0.2285","1.3430"
"","0.4360","2.4938","0.2407","1.4001"
"","0.4560","2.5961","0.2540","1.4574"
"","0.4750","2.6997","0.2670","1.5156"
"","0.4940","2.8040","0.2799","1.5742"
"","0.5140","2.9019","0.2929","1.6291"
"","0.5340","3.0037","0.3063","1.6863"
"","0.5520","3.1051","0.3188","1.7432"
"","0.5720","3.2076","0.3321","1.8008"
"","0.5920","3.3007","0.3445","1.8530"
"","0.6110","3.4039","0.3566","1.9110"
"","0.6280","3.5045","0.3680","1.9674"
"","0.6440","3.6047","0.3789","2.0237"
"","0.6620","3.7088","0.3908","2.0821"
"","0.6800","3.8114","0.4026","2.1397"
"","0.6960","3.9137","0.4136","2.1972"
"","0.7120","4.0148","0.4248","2.2539"
"","0.7310","4.1158","0.4376","2.3106"
"","0.7480","4.2197","0.4487","2.3690"
"","0.7670","4.3235","0.4616","2.4273"
"","0.7840","4.4257","0.4734","2.4846"
"","0.7990","4.5288","0.4838","2.5425"
"","0.8170","4.6336","0.4960","2.6013"
"","0.8350","4.7367","0.5077","2.6592"
"","0.8520","4.8419","0.5188","2.7183"
"","0.8690","4.9421","0.5302","2.7745"
"","0.8870","5.0430","0.5419","2.8311"
"","0.9070","5.1471","0.5545","2.8896"
"","0.9230","5.2487","0.5650","2.9467"
"","0.9390","5.3515","0.5759","3.0044"
"","0.9550","5.4558","0.5870","3.0629"
"","0.9730","5.5609","0.5989","3.1219"
"","0.9910","5.6660","0.6107","3.1809"
"","1.0070","5.7695","0.6218","3.2390"
"","1.0220","5.8718","0.6322","3.2965"
"","1.0380","5.9769","0.6428","3.3554"
"","1.0570","6.0795","0.6546","3.4131"
"","1.0740","6.1847","0.6654","3.4721"
"","1.0910","6.2870","0.6770","3.5295"
"","1.1070","6.3908","0.6882","3.5878"
"","1.1220","6.4932","0.6985","3.6453"
"","1.1380","6.5982","0.7090","3.7042"
"","1.1560","6.6990","0.7208","3.7608"
"","1.1730","6.8001","0.7322","3.8176"
"","1.1880","6.9064","0.7424","3.8773"
"","1.2040","7.0073","0.7529","3.9339"
"","1.2220","7.1104","0.7645","3.9918"
"","1.2380","7.2161","0.7753","4.0512"
"","1.2520","7.3220","0.7853","4.1106"
"","1.2670","7.4221","0.7962","4.1668"
"","1.2840","7.5281","0.8078","4.2263"
"","1.3000","7.6326","0.8181","4.2850"
"","1.3170","7.7343","0.8293","4.3421"
"","1.3330","7.8386","0.8398","4.4006"
"","1.3480","7.9387","0.8495","4.4568"
"","1.3650","8.0418","0.8601","4.5147"
"","1.3830","8.1434","0.8716","4.5717"
"","1.3980","8.2484","0.8818","4.6307"
"","1.4130","8.3544","0.8923","4.6902"
"","1.4280","8.4564","0.9028","4.7474"
"","1.4450","8.5621","0.9141","4.8068"
"","1.4610","8.6642","0.9245","4.8641"
"","1.4780","8.7687","0.9358","4.9228"
"","1.4930","8.8713","0.9462","4.9804"
"","1.5080","8.9743","0.9562","5.0382"
"","1.5250","9.0749","0.9670","5.0947"
"","1.5430","9.1804","0.9784","5.1539"
"","1.5590","9.2862","0.9892","5.2133"
"","1.5740","9.3931","0.9998","5.2733"
"","1.5900","9.4974","1.0108","5.3319"
"","1.6060","9.6000","1.0210","5.3895"
"","1.6220","9.7002","1.0312","5.4457"
"","1.6390","9.8024","1.0424","5.5031"
"","1.6550","9.9069","1.0531","5.5617"
"","1.6690","10.0116","1.0623","5.6205"
"","1.6860","10.1154","1.0737","5.6788"
"","1.7020","10.2224","1.0850","5.7389"
"","1.7150","10.3277","1.0945","5.7980"
