Time,Force,Flexure displacement,Flexure stress
(s),(N),(mm),(MPa)
"0.0000","-0.1270","0.0018","-0.0713"
"0.0200","-0.1289","0.0018","-0.0724"
"0.0400","-0.1047","0.0027","-0.0588"
"0.0600","-0.0572","0.0078","-0.0321"
"0.0800","0.0359","0.0194","0.0201"
"0.0960","0.1391","0.0308","0.0781"
"0.1160","0.2331","0.0455","0.1309"
"0.1360","0.3375","0.0597","0.1895"
"0.1560","0.4222","0.0727","0.2371"
"0.1760","0.4842","0.0846","0.2718"
"0.1960","0.5749","0.0974","0.3228"
"0.2140","0.6768","0.1098","0.3799"
"0.2340","0.7775","0.1233","0.4365"
"0.2540","0.8590","0.1358","0.4822"
"0.2740","0.9603","0.1488","0.5391"
"0.2920","1.0618","0.1613","0.5961"
"0.3120","1.1629","0.1751","0.6529"
"0.3320","1.2675","0.1880","0.7116"
"0.3520","1.3717","0.2007","0.7701"
"0.3720","1.4708","0.2140","0.8257"
"0.3890","1.5743","0.2253","0.8838"
"0.4090","1.6706","0.2382","0.9379"
"0.4290","1.7755","0.2513","0.9968"
"0.4460","1.8795","0.2629","1.0551"
"0.4650","1.9829","0.2759","1.1132"
"0.4820","2.0830","0.2871","1.1694"
"0.4980","2.1850","0.2976","1.2267"
"0.5180","2.2901","0.3112","1.2857"
"0.5340","2.3918","0.3222","1.3427"
"0.5510","2.4953","0.3333","1.4009"
"0.5710","2.5787","0.3457","1.4477"
"0.5880","2.6808","0.3567","1.5050"
"0.6050","2.7834","0.3681","1.5626"
"0.6240","2.8881","0.3809","1.6214"
"0.6420","2.9903","0.3927","1.6787"
"0.6590","3.0920","0.4039","1.7358"
"0.6750","3.1931","0.4151","1.7926"
"0.6920","3.2978","0.4271","1.8514"
"0.7100","3.4020","0.4391","1.9099"
"0.7270","3.5081","0.4501","1.9695"
"0.7450","3.6132","0.4621","2.0285"
"0.7610","3.7154","0.4732","2.0859"
"0.7780","3.8193","0.4851","2.1442"
