Time,Force,Flexure displacement,Flexure stress
(s),(N),(mm),(MPa)
"0.0000","-0.1518","-1.6846","-0.0852"
"0.0200","-0.1331","-1.6846","-0.0747"
"0.0400","-0.1484","-1.6830","-0.0833"
"0.0600","-0.1463","-1.6761","-0.0821"
"0.0800","-0.1391","-1.6634","-0.0781"
"0.1000","-0.1461","-1.6489","-0.0820"
"0.1200","-0.1469","-1.6346","-0.0825"
"0.1400","-0.1507","-1.6213","-0.0846"
"0.1600","-0.1523","-1.6088","-0.0855"
"0.1800","-0.1483","-1.5958","-0.0833"
"0.2000","-0.1438","-1.5819","-0.0807"
"0.2200","-0.1444","-1.5685","-0.0811"
"0.2400","-0.1379","-1.5563","-0.0774"
"0.2600","-0.1453","-1.5439","-0.0816"
"0.2800","-0.1486","-1.5304","-0.0834"
"0.3000","-0.1409","-1.5165","-0.0791"
"0.3200","-0.1477","-1.5034","-0.0829"
"0.3400","-0.1506","-1.4904","-0.0845"
"0.3600","-0.1466","-1.4768","-0.0823"
"0.3800","-0.1552","-1.4635","-0.0872"
"0.4000","-0.1439","-1.4511","-0.0808"
"0.4200","-0.1428","-1.4385","-0.0802"
"0.4400","-0.1394","-1.4246","-0.0783"
"0.4600","-0.1419","-1.4102","-0.0797"
"0.4800","-0.1442","-1.3962","-0.0810"
"0.5000","-0.1478","-1.3823","-0.0829"
"0.5200","-0.1483","-1.3681","-0.0833"
"0.5400","-0.1390","-1.3550","-0.0781"
"0.5600","-0.1441","-1.3432","-0.0809"
"0.5800","-0.1528","-1.3312","-0.0858"
"0.6000","-0.1553","-1.3179","-0.0872"
"0.6200","-0.1457","-1.3041","-0.0818"
"0.6400","-0.1402","-1.2906","-0.0787"
"0.6600","-0.1445","-1.2767","-0.0811"
"0.6800","-0.1246","-1.2630","-0.0700"
"0.7000","-0.1618","-1.2500","-0.0909"
"0.7200","-0.1473","-1.2376","-0.0827"
"0.7400","-0.1430","-1.2243","-0.0803"
"0.7600","-0.1463","-1.2101","-0.0821"
"0.7800","-0.1383","-1.1965","-0.0776"
"0.8000","-0.1478","-1.1838","-0.0830"
"0.8200","-0.1417","-1.1705","-0.0795"
"0.8400","-0.1501","-1.1569","-0.0843"
"0.8600","-0.1409","-1.1440","-0.0791"
"0.8800","-0.1439","-1.1315","-0.0808"
"0.9000","-0.1485","-1.1180","-0.0834"
"0.9200","-0.1490","-1.1038","-0.0836"
"0.9400","-0.1488","-1.0901","-0.0835"
"0.9600","-0.1512","-1.0766","-0.0849"
"0.9800","-0.1430","-1.0626","-0.0803"
"1.0000","-0.1416","-1.0490","-0.0795"
"1.0200","-0.1482","-1.0365","-0.0832"
"1.0400","-0.1463","-1.0240","-0.0821"
"1.0600","-0.1412","-1.0105","-0.0793"
"1.0800","-0.1381","-0.9965","-0.0775"
"1.1000","-0.1442","-0.9835","-0.0810"
"1.1200","-0.1470","-0.9710","-0.0825"
"1.1400","-0.1537","-0.9578","-0.0863"
"1.1600","-0.1443","-0.9442","-0.0810"
"1.1800","-0.1384","-0.9310","-0.0777"
"1.2000","-0.1513","-0.9177","-0.0849"
"1.2200","-0.1367","-0.9035","-0.0768"
"1.2400","-0.1525","-0.8895","-0.0856"
"1.2600","-0.1449","-0.8767","-0.0813"
"1.2800","-0.1376","-0.8637","-0.0773"
"1.3000","-0.1468","-0.8503","-0.0824"
"1.3200","-0.1441","-0.8369","-0.0809"
"1.3400","-0.1463","-0.8242","-0.0821"
"1.3600","-0.1453","-0.8115","-0.0816"
"1.3800","-0.1486","-0.7980","-0.0834"
"1.4000","-0.1359","-0.7841","-0.0763"
"1.4200","-0.1472","-0.7707","-0.0826"
"1.4400","-0.1441","-0.7570","-0.0809"
"1.4600","-0.1385","-0.7428","-0.0777"
"1.4800","-0.1425","-0.7293","-0.0800"
"1.5000","-0.1383","-0.7169","-0.0776"
"1.5200","-0.1418","-0.7037","-0.0796"
"1.5400","-0.1434","-0.6900","-0.0805"
"1.5600","-0.1484","-0.6768","-0.0833"
"1.5800","-0.1508","-0.6643","-0.0847"
"1.6000","-0.1423","-0.6511","-0.0799"
"1.6200","-0.1452","-0.6374","-0.0815"
"1.6400","-0.1464","-0.6240","-0.0822"
"1.6600","-0.1489","-0.6109","-0.0836"
"1.6800","-0.1401","-0.5973","-0.0787"
"1.7000","-0.1387","-0.5830","-0.0779"
"1.7200","-0.1397","-0.5693","-0.0784"
"1.7400","-0.1501","-0.5566","-0.0843"
"1.7600","-0.1531","-0.5438","-0.0859"
"1.7800","-0.1397","-0.5302","-0.0784"
"1.8000","-0.1340","-0.5169","-0.0752"
"1.8200","-0.1343","-0.5044","-0.0754"
"1.8400","-0.1353","-0.4915","-0.0759"
"1.8600","-0.1438","-0.4779","-0.0807"
"1.8800","-0.1396","-0.4644","-0.0784"
"1.9000","-0.1383","-0.4507","-0.0777"
"1.9200","-0.1509","-0.4364","-0.0847"
"1.9400","-0.1451","-0.4222","-0.0814"
"1.9600","-0.1478","-0.4092","-0.0830"
"1.9800","-0.1529","-0.3965","-0.0858"
"2.0000","-0.1490","-0.3832","-0.0836"
"2.0200","-0.1447","-0.3699","-0.0813"
