Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"0.1000","0.0001","0.0001"
"0.2000","0.0003","0.0001"
"0.3000","0.0007","0.0001"
"0.4000","0.0014","0.0001"
"0.5000","0.0023","0.0001"
"0.6000","0.0035","0.0001"
"0.7000","0.0042","0.0001"
"0.8000","0.0050","0.0001"
"0.9000","0.0062","0.0001"
"1.0000","0.0077","0.0001"
"1.1000","0.0098","0.0001"
"1.2000","0.0122","0.0001"
"1.3000","0.0146","0.0001"
"1.4000","0.0166","0.0001"
"1.5000","0.0183","0.0001"
"1.6000","0.0198","0.0001"
"1.7000","0.0213","0.0001"
"1.8000","0.0229","0.0001"
"1.9000","0.0246","0.0001"
"2.0000","0.0264","0.0001"
"2.1000","0.0283","0.0001"
"2.2000","0.0301","0.0001"
"2.3000","0.0318","0.0001"
"2.4000","0.0335","0.0001"
"2.5000","0.0352","0.0001"
"2.6000","0.0369","0.0001"
"2.7000","0.0387","0.0001"
"2.8000","0.0405","0.0001"
"2.9000","0.0422","0.0001"
"3.0000","0.0439","0.0001"
"3.1000","0.0455","0.0001"
"3.2000","0.0470","0.0001"
"3.3000","0.0486","0.0002"
"3.4000","0.0502","0.0002"
"3.5000","0.0517","0.0002"
"3.6000","0.0533","0.0002"
"3.7000","0.0550","0.0002"
"3.8000","0.0568","0.0002"
"3.9000","0.0586","0.0002"
"4.0000","0.0604","0.0002"
"4.1000","0.0622","0.0002"
"4.2000","0.0639","0.0002"
"4.3000","0.0655","0.0002"
"4.4000","0.0670","0.0002"
"4.5000","0.0686","0.0002"
"4.6000","0.0701","0.0002"
"4.7000","0.0716","0.0002"
"4.8000","0.0731","0.0002"
"4.9000","0.0747","0.0002"
"5.0000","0.0765","0.0002"
"5.1000","0.0783","0.0002"
"5.2000","0.0801","0.0002"
"5.3000","0.0818","0.0002"
"5.4000","0.0835","0.0002"
"5.5000","0.0850","0.0002"
"5.6000","0.0866","0.0002"
"5.7000","0.0884","0.0002"
"5.8000","0.0901","0.0002"
"5.9000","0.0919","0.0002"
"6.0000","0.0936","0.0002"
"6.1000","0.0953","0.0002"
"6.2000","0.0971","0.0002"
"6.3000","0.0988","0.0003"
"6.4000","0.1004","0.0002"
"6.5000","0.1020","0.0003"
"6.6000","0.1036","0.0003"
"6.7000","0.1052","0.0003"
"6.8000","0.1068","0.0003"
"6.9000","0.1084","0.0003"
"7.0000","0.1102","0.0003"
"7.1000","0.1120","0.0003"
"7.2000","0.1138","0.0003"
"7.3000","0.1155","0.0003"
"7.4000","0.1171","0.0003"
"7.5000","0.1187","0.0003"
