Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1000","0.0001","0.0000"
"0.2000","0.0003","0.0000"
"0.3000","0.0006","0.0000"
"0.4000","0.0012","0.0000"
"0.5000","0.0020","0.0000"
"0.6000","0.0031","0.0000"
"0.7000","0.0037","0.0000"
"0.8000","0.0044","0.0000"
"0.9000","0.0055","0.0000"
"1.0000","0.0071","0.0000"
"1.1000","0.0092","0.0000"
"1.2000","0.0115","0.0000"
"1.3000","0.0137","0.0000"
"1.4000","0.0157","0.0000"
"1.5000","0.0177","0.0000"
"1.6000","0.0196","0.0000"
"1.7000","0.0215","0.0000"
"1.8000","0.0234","0.0000"
"1.9000","0.0250","0.0000"
"2.0000","0.0263","0.0000"
"2.1000","0.0277","0.0000"
"2.2000","0.0292","0.0000"
"2.3000","0.0307","0.0000"
"2.4000","0.0322","0.0000"
"2.5000","0.0339","0.0000"
"2.6000","0.0356","0.0000"
"2.7000","0.0375","0.0000"
"2.8000","0.0394","0.0000"
"2.9000","0.0412","0.0000"
"3.0000","0.0429","0.0000"
"3.1000","0.0446","0.0000"
"3.2000","0.0463","0.0000"
"3.3000","0.0479","0.0000"
"3.4000","0.0496","0.0000"
"3.5000","0.0514","0.0000"
"3.6000","0.0532","0.0000"
"3.7000","0.0549","0.0000"
"3.8000","0.0566","0.0000"
"3.9000","0.0583","0.0000"
"4.0000","0.0599","0.0000"
"4.1000","0.0615","0.0000"
"4.2000","0.0630","0.0000"
"4.3000","0.0646","0.0000"
"4.4000","0.0663","0.0000"
"4.5000","0.0680","0.0000"
"4.6000","0.0698","0.0000"
"4.7000","0.0716","0.0000"
"4.8000","0.0734","0.0000"
"4.9000","0.0751","0.0000"
"5.0000","0.0768","0.0000"
"5.1000","0.0784","0.0000"
"5.2000","0.0798","0.0000"
"5.3000","0.0813","0.0000"
"5.4000","0.0828","0.0000"
"5.5000","0.0843","0.0000"
"5.6000","0.0859","0.0000"
"5.7000","0.0876","0.0000"
"5.8000","0.0895","0.0000"
"5.9000","0.0914","0.0000"
"6.0000","0.0932","0.0000"
"6.1000","0.0949","0.0000"
"6.2000","0.0965","0.0000"
"6.3000","0.0980","0.0000"
"6.4000","0.0997","0.0000"
"6.5000","0.1015","0.0000"
"6.6000","0.1033","0.0000"
"6.7000","0.1050","0.0000"
"6.8000","0.1067","0.0000"
"6.9000","0.1083","0.0000"
"7.0000","0.1100","0.0000"
"7.1000","0.1116","0.0000"
"7.2000","0.1133","0.0000"
"7.3000","0.1148","0.0000"
"7.4000","0.1164","0.0000"
"7.5000","0.1180","0.0000"
"7.6000","0.1197","0.0000"
"7.7000","0.1215","0.0000"
"7.8000","0.1233","0.0000"
"7.9000","0.1251","0.0000"
"8.0000","0.1269","0.0000"
"8.1000","0.1285","0.0000"
"8.2000","0.1301","0.0000"
"8.3000","0.1316","0.0000"
"8.4000","0.1331","0.0000"
"8.5000","0.1346","0.0000"
"8.6000","0.1361","0.0000"
"8.7000","0.1377","0.0000"
"8.8000","0.1394","0.0000"
"8.9000","0.1411","0.0000"
"9.0000","0.1430","0.0000"
"9.1000","0.1448","0.0000"
"9.2000","0.1465","0.0000"
"9.3000","0.1481","0.0000"
"9.4000","0.1497","0.0000"
"9.5000","0.1513","0.0000"
"9.6000","0.1531","0.0000"
"9.7000","0.1548","0.0000"
"9.8000","0.1566","0.0000"
"9.9000","0.1584","0.0000"
"10.0000","0.1601","0.0000"
"10.1000","0.1617","0.0000"
"10.2000","0.1633","0.0000"
"10.3000","0.1649","0.0000"
"10.4000","0.1665","0.0000"
"10.5000","0.1681","0.0000"
"10.6000","0.1697","0.0000"
"10.7000","0.1713","0.0000"
"10.8000","0.1729","0.0000"
"10.9000","0.1746","0.0000"
"11.0000","0.1764","0.0000"
"11.1000","0.1783","0.0000"
"11.2000","0.1800","0.0000"
"11.3000","0.1817","0.0000"
"11.4000","0.1833","0.0000"
"11.5000","0.1848","0.0000"
"11.6000","0.1862","0.0000"
