Time,Displacement,Force
(s),(mm),(kN)
"0.0000","-0.8016","0.0000"
"0.0200","-0.8012","0.0000"
"0.0400","-0.7909","0.0000"
"0.0600","-0.7493","0.0000"
"0.0800","-0.6837","0.0000"
"0.1000","-0.6189","0.0000"
"0.1200","-0.5603","0.0000"
"0.1400","-0.5035","0.0000"
"0.1600","-0.4454","0.0000"
"0.1800","-0.3862","0.0000"
"0.2000","-0.3272","0.0000"
"0.2200","-0.2681","0.0000"
"0.2400","-0.2089","0.0000"
"0.2600","-0.1495","0.0000"
"0.2800","-0.0898","0.0000"
"0.3000","-0.0301","0.0000"
"0.3110","0.0027","0.0000"
"0.3120","0.0057","0.0000"
"0.3130","0.0086","0.0000"
"0.3330","0.0663","0.0000"
"0.3530","0.0965","0.0000"
"0.3730","0.0798","0.0000"
"0.3930","0.0220","0.0000"
"0.4130","-0.0478","0.0000"
"0.4330","-0.1106","0.0000"
"0.4530","-0.1678","0.0000"
"0.4730","-0.2244","0.0000"
"0.4930","-0.2824","0.0000"
"0.5130","-0.3414","0.0000"
"0.5330","-0.4005","0.0000"
"0.5530","-0.4598","0.0000"
"0.5730","-0.5194","0.0000"
"0.5930","-0.5790","0.0000"
"0.6130","-0.6386","0.0000"
"0.6330","-0.6983","0.0000"
"0.6530","-0.7579","0.0000"
"0.6730","-0.8177","0.0000"
"0.6930","-0.8768","0.0000"
"0.7130","-0.9365","0.0000"
"0.7330","-0.9966","0.0000"
"0.7530","-1.0565","0.0000"
"0.7730","-1.1168","0.0000"
"0.7930","-1.1767","0.0000"
"0.8130","-1.2367","0.0000"
"0.8330","-1.2967","0.0000"
"0.8530","-1.3563","0.0000"
"0.8730","-1.4166","0.0000"
"0.8930","-1.4765","0.0000"
"0.9130","-1.5360","0.0000"
"0.9330","-1.5961","0.0000"
"0.9530","-1.6559","0.0000"
"0.9730","-1.7161","0.0000"
"0.9930","-1.7764","0.0000"
"1.0130","-1.8364","0.0000"
"1.0330","-1.8966","0.0000"
"1.0530","-1.9567","0.0000"
"1.0730","-2.0169","0.0000"
"1.0930","-2.0774","0.0000"
"1.1130","-2.1371","0.0000"
"1.1330","-2.1968","0.0000"
"1.1530","-2.2565","0.0000"
"1.1730","-2.3166","0.0000"
"1.1930","-2.3768","-0.0001"
"1.2130","-2.4368","-0.0001"
"1.2330","-2.4967","-0.0001"
"1.2530","-2.5565","-0.0002"
"1.2730","-2.6164","-0.0002"
"1.2930","-2.6770","-0.0003"
"1.3130","-2.7371","-0.0003"
"1.3330","-2.7967","-0.0004"
"1.3530","-2.8565","-0.0004"
"1.3730","-2.9162","-0.0005"
"1.3930","-2.9763","-0.0005"
"1.4130","-3.0367","-0.0006"
"1.4330","-3.0967","-0.0007"
"1.4530","-3.1568","-0.0007"
"1.4730","-3.2168","-0.0008"
"1.4930","-3.2773","-0.0009"
"1.5130","-3.3377","-0.0010"
"1.5330","-3.3978","-0.0011"
"1.5530","-3.4577","-0.0011"
"1.5730","-3.5173","-0.0012"
"1.5930","-3.5770","-0.0013"
"1.6130","-3.6373","-0.0014"
"1.6330","-3.6973","-0.0015"
"1.6530","-3.7573","-0.0016"
"1.6730","-3.8172","-0.0017"
"1.6930","-3.8773","-0.0018"
"1.7130","-3.9369","-0.0019"
"1.7330","-3.9964","-0.0019"
"1.7530","-4.0564","-0.0020"
"1.7730","-4.1166","-0.0021"
"1.7930","-4.1765","-0.0022"
"1.8130","-4.2368","-0.0023"
"1.8330","-4.2968","-0.0024"
"1.8530","-4.3566","-0.0025"
"1.8730","-4.4167","-0.0026"
"1.8930","-4.4767","-0.0027"
"1.9130","-4.5369","-0.0028"
"1.9330","-4.5971","-0.0029"
"1.9530","-4.6570","-0.0030"
"1.9730","-4.7174","-0.0031"
"1.9930","-4.7770","-0.0033"
"2.0130","-4.8369","-0.0034"
"2.0330","-4.8970","-0.0035"
"2.0530","-4.9570","-0.0036"
"2.0730","-5.0172","-0.0037"
"2.0930","-5.0769","-0.0038"
"2.1130","-5.1368","-0.0039"
"2.1330","-5.1966","-0.0040"
"2.1530","-5.2562","-0.0042"
"2.1730","-5.3165","-0.0043"
"2.1930","-5.3766","-0.0044"
"2.2130","-5.4366","-0.0045"
"2.2330","-5.4967","-0.0046"
"2.2530","-5.5567","-0.0047"
"2.2730","-5.6167","-0.0049"
"2.2930","-5.6766","-0.0050"
"2.3130","-5.7365","-0.0051"
"2.3330","-5.7968","-0.0052"
"2.3530","-5.8567","-0.0054"
"2.3730","-5.9165","-0.0055"
"2.3930","-5.9767","-0.0056"
"2.4130","-6.0367","-0.0057"
"2.4330","-6.0968","-0.0058"
"2.4530","-6.1568","-0.0060"
"2.4730","-6.2164","-0.0061"
"2.4930","-6.2762","-0.0062"
"2.5130","-6.3359","-0.0064"
"2.5330","-6.3962","-0.0065"
"2.5530","-6.4563","-0.0066"
"2.5730","-6.5160","-0.0067"
"2.5930","-6.5761","-0.0069"
"2.6130","-6.6361","-0.0070"
"2.6330","-6.6959","-0.0071"
"2.6530","-6.7563","-0.0073"
"2.6730","-6.8163","-0.0074"
"2.6930","-6.8760","-0.0075"
"2.7130","-6.9359","-0.0077"
"2.7330","-6.9961","-0.0078"
"2.7530","-7.0565","-0.0080"
"2.7730","-7.1166","-0.0081"
"2.7930","-7.1766","-0.0083"
"2.8130","-7.2369","-0.0084"
"2.8330","-7.2966","-0.0086"
