Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0008"
"0.1000","0.0004","0.0008"
"0.2000","0.0019","0.0008"
"0.3000","0.0067","0.0008"
"0.4000","0.0145","0.0008"
"0.5000","0.0230","0.0008"
"0.6000","0.0308","0.0009"
"0.7000","0.0399","0.0009"
"0.8000","0.0475","0.0009"
"0.9000","0.0557","0.0009"
"1.0000","0.0645","0.0009"
"1.1000","0.0744","0.0009"
"1.2000","0.0819","0.0009"
"1.3000","0.0906","0.0009"
"1.4000","0.0980","0.0009"
"1.5000","0.1057","0.0009"
"1.6000","0.1142","0.0010"
"1.7000","0.1238","0.0010"
"1.8000","0.1321","0.0010"
"1.9000","0.1408","0.0010"
"2.0000","0.1490","0.0010"
"2.1000","0.1562","0.0010"
"2.2000","0.1650","0.0010"
"2.3000","0.1741","0.0010"
"2.4000","0.1822","0.0010"
"2.5000","0.1900","0.0011"
"2.6000","0.1987","0.0011"
"2.7000","0.2060","0.0011"
"2.8000","0.2148","0.0011"
"2.9000","0.2235","0.0011"
"3.0000","0.2321","0.0011"
"3.1000","0.2400","0.0011"
"3.2000","0.2493","0.0011"
"3.3000","0.2564","0.0012"
"3.4000","0.2645","0.0012"
"3.5000","0.2731","0.0012"
"3.6000","0.2827","0.0012"
"3.7000","0.2906","0.0012"
"3.8000","0.2996","0.0012"
"3.9000","0.3066","0.0012"
"4.0000","0.3140","0.0012"
"4.1000","0.3224","0.0012"
"4.2000","0.3320","0.0012"
"4.3000","0.3404","0.0013"
"4.4000","0.3489","0.0013"
"4.5000","0.3571","0.0013"
"4.6000","0.3643","0.0013"
"4.7000","0.3730","0.0013"
"4.8000","0.3821","0.0013"
"4.9000","0.3899","0.0013"
"5.0000","0.3982","0.0013"
"5.1000","0.4072","0.0014"
"5.2000","0.4143","0.0014"
"5.3000","0.4228","0.0014"
"5.4000","0.4315","0.0014"
"5.5000","0.4408","0.0014"
"5.6000","0.4490","0.0014"
"5.7000","0.4579","0.0014"
"5.8000","0.4646","0.0014"
"5.9000","0.4727","0.0014"
"6.0000","0.4818","0.0014"
"6.1000","0.4913","0.0015"
"6.2000","0.4988","0.0015"
"6.3000","0.5075","0.0015"
"6.4000","0.5149","0.0015"
"6.5000","0.5228","0.0015"
"6.6000","0.5316","0.0015"
"6.7000","0.5409","0.0015"
"6.8000","0.5488","0.0015"
"6.9000","0.5568","0.0016"
"7.0000","0.5648","0.0016"
"7.1000","0.5722","0.0016"
"7.2000","0.5810","0.0016"
"7.3000","0.5906","0.0016"
"7.4000","0.5986","0.0016"
"7.5000","0.6071","0.0016"
"7.6000","0.6161","0.0016"
"7.7000","0.6231","0.0016"
"7.8000","0.6314","0.0017"
"7.9000","0.6398","0.0017"
"8.0000","0.6490","0.0017"
"8.1000","0.6571","0.0017"
"8.2000","0.6662","0.0017"
"8.3000","0.6730","0.0017"
"8.4000","0.6808","0.0017"
"8.5000","0.6894","0.0017"
"8.6000","0.6990","0.0018"
"8.7000","0.7072","0.0018"
"8.8000","0.7159","0.0018"
"8.9000","0.7231","0.0018"
"9.0000","0.7308","0.0018"
"9.1000","0.7394","0.0018"
"9.2000","0.7490","0.0018"
"9.3000","0.7570","0.0018"
"9.4000","0.7654","0.0019"
"9.5000","0.7737","0.0019"
"9.6000","0.7811","0.0019"
"9.7000","0.7901","0.0019"
"9.8000","0.7994","0.0019"
"9.9000","0.8076","0.0019"
"10.0000","0.8155","0.0019"
"10.1000","0.8240","0.0019"
"10.2000","0.8310","0.0019"
"10.3000","0.8396","0.0020"
"10.4000","0.8483","0.0020"
"10.5000","0.8576","0.0020"
"10.6000","0.8651","0.0020"
"10.7000","0.8739","0.0020"
"10.8000","0.8809","0.0020"
"10.9000","0.8890","0.0020"
"11.0000","0.8979","0.0020"
"11.1000","0.9077","0.0021"
"11.2000","0.9157","0.0021"
"11.3000","0.9245","0.0021"
"11.4000","0.9316","0.0021"
"11.5000","0.9394","0.0021"
"11.6000","0.9483","0.0021"
"11.7000","0.9575","0.0021"
"11.8000","0.9654","0.0021"
"11.9000","0.9736","0.0022"
"12.0000","0.9817","0.0022"
"12.1000","0.9888","0.0022"
"12.2000","0.9977","0.0022"
"12.3000","1.0072","0.0022"
"12.4000","1.0155","0.0022"
"12.5000","1.0236","0.0022"
"12.6000","1.0323","0.0022"
"12.7000","1.0393","0.0023"
"12.8000","1.0477","0.0023"
"12.9000","1.0566","0.0023"
"13.0000","1.0658","0.0023"
"13.1000","1.0738","0.0023"
"13.2000","1.0827","0.0023"
"13.3000","1.0897","0.0023"
"13.4000","1.0980","0.0023"
"13.5000","1.1071","0.0024"
"13.6000","1.1166","0.0024"
"13.7000","1.1244","0.0024"
"13.8000","1.1334","0.0024"
"13.9000","1.1405","0.0024"
"14.0000","1.1479","0.0024"
"14.1000","1.1559","0.0024"
"14.2000","1.1646","0.0024"
"14.3000","1.1727","0.0024"
"14.4000","1.1814","0.0025"
"14.5000","1.1903","0.0025"
"14.6000","1.1978","0.0025"
"14.7000","1.2066","0.0025"
"14.8000","1.2156","0.0025"
"14.9000","1.2237","0.0025"
"15.0000","1.2320","0.0025"
"15.1000","1.2410","0.0026"
"15.2000","1.2480","0.0026"
"15.3000","1.2565","0.0026"
"15.4000","1.2651","0.0026"
"15.5000","1.2739","0.0026"
"15.6000","1.2817","0.0026"
"15.7000","1.2907","0.0026"
"15.8000","1.2978","0.0026"
"15.9000","1.3058","0.0026"
"16.0000","1.3149","0.0027"
