Time,Displacement,Force
(s),(mm),(kN)
"0.0000","-0.3288","0.0000"
"0.0200","-0.3293","0.0000"
"0.0400","-0.3378","0.0000"
"0.0600","-0.3720","-0.0001"
"0.0800","-0.4337","-0.0003"
"0.1000","-0.5006","-0.0008"
"0.1200","-0.5604","-0.0013"
"0.1400","-0.6175","-0.0019"
"0.1600","-0.6753","-0.0027"
"0.1800","-0.7339","-0.0036"
"0.2000","-0.7933","-0.0046"
"0.2200","-0.8524","-0.0057"
"0.2400","-0.9116","-0.0069"
"0.2600","-0.9712","-0.0081"
"0.2800","-1.0307","-0.0095"
"0.3000","-1.0904","-0.0109"
"0.3200","-1.1500","-0.0123"
"0.3400","-1.2095","-0.0137"
"0.3600","-1.2694","-0.0152"
"0.3800","-1.3292","-0.0167"
"0.4000","-1.3886","-0.0182"
"0.4200","-1.4480","-0.0198"
"0.4400","-1.5076","-0.0213"
"0.4600","-1.5678","-0.0230"
"0.4800","-1.6279","-0.0246"
"0.5000","-1.6879","-0.0263"
"0.5200","-1.7479","-0.0279"
"0.5400","-1.8076","-0.0296"
"0.5600","-1.8677","-0.0313"
"0.5800","-1.9278","-0.0331"
"0.6000","-1.9876","-0.0348"
"0.6200","-2.0477","-0.0365"
"0.6400","-2.1076","-0.0383"
"0.6600","-2.1678","-0.0400"
"0.6800","-2.2279","-0.0418"
"0.7000","-2.2877","-0.0436"
"0.7200","-2.3479","-0.0454"
"0.7400","-2.4078","-0.0472"
"0.7600","-2.4679","-0.0491"
"0.7800","-2.5282","-0.0509"
"0.8000","-2.5876","-0.0528"
"0.8200","-2.6473","-0.0546"
"0.8400","-2.7071","-0.0565"
"0.8600","-2.7670","-0.0584"
"0.8800","-2.8273","-0.0604"
"0.9000","-2.8873","-0.0623"
"0.9200","-2.9473","-0.0643"
"0.9400","-3.0074","-0.0663"
"0.9600","-3.0670","-0.0683"
"0.9800","-3.1271","-0.0703"
"1.0000","-3.1872","-0.0724"
"1.0200","-3.2473","-0.0744"
"1.0400","-3.3075","-0.0765"
"1.0600","-3.3675","-0.0786"
"1.0800","-3.4277","-0.0807"
"1.1000","-3.4880","-0.0828"
"1.1200","-3.5480","-0.0850"
"1.1400","-3.6077","-0.0871"
"1.1600","-3.6675","-0.0893"
"1.1800","-3.7277","-0.0915"
"1.2000","-3.7877","-0.0937"
"1.2200","-3.8475","-0.0959"
"1.2400","-3.9072","-0.0981"
"1.2600","-3.9669","-0.1003"
"1.2800","-4.0268","-0.1026"
"1.3000","-4.0870","-0.1049"
"1.3200","-4.1471","-0.1072"
"1.3400","-4.2073","-0.1095"
"1.3600","-4.2671","-0.1119"
"1.3800","-4.3269","-0.1142"
"1.4000","-4.3870","-0.1166"
"1.4200","-4.4470","-0.1190"
"1.4400","-4.5071","-0.1214"
"1.4600","-4.5672","-0.1239"
"1.4800","-4.6271","-0.1263"
"1.5000","-4.6875","-0.1288"
"1.5200","-4.7475","-0.1313"
"1.5400","-4.8076","-0.1338"
"1.5600","-4.8678","-0.1364"
"1.5800","-4.9277","-0.1389"
"1.6000","-4.9879","-0.1415"
"1.6200","-5.0479","-0.1441"
"1.6400","-5.1074","-0.1466"
"1.6600","-5.1674","-0.1493"
"1.6800","-5.2272","-0.1519"
"1.7000","-5.2872","-0.1546"
"1.7200","-5.3474","-0.1573"
"1.7400","-5.4073","-0.1600"
"1.7600","-5.4674","-0.1627"
"1.7800","-5.5274","-0.1655"
"1.8000","-5.5870","-0.1682"
