Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0005"
"0.1000","0.0004","0.0005"
"0.2000","0.0063","0.0005"
"0.3000","0.0143","0.0006"
"0.4000","0.0230","0.0006"
"0.5000","0.0313","0.0007"
"0.6000","0.0384","0.0007"
"0.7000","0.0469","0.0008"
"0.8000","0.0564","0.0009"
"0.9000","0.0650","0.0009"
"1.0000","0.0730","0.0010"
"1.1000","0.0813","0.0010"
"1.2000","0.0882","0.0011"
"1.3000","0.0966","0.0012"
"1.4000","0.1056","0.0012"
"1.5000","0.1149","0.0013"
"1.6000","0.1229","0.0014"
"1.7000","0.1318","0.0014"
"1.8000","0.1389","0.0015"
"1.9000","0.1471","0.0016"
"2.0000","0.1560","0.0017"
"2.1000","0.1654","0.0018"
"2.2000","0.1729","0.0018"
"2.3000","0.1813","0.0019"
"2.4000","0.1887","0.0020"
"2.5000","0.1965","0.0021"
"2.6000","0.2051","0.0022"
"2.7000","0.2141","0.0023"
"2.8000","0.2224","0.0024"
"2.9000","0.2313","0.0025"
"3.0000","0.2397","0.0026"
"3.1000","0.2469","0.0026"
"3.2000","0.2554","0.0028"
"3.3000","0.2647","0.0029"
"3.4000","0.2731","0.0030"
"3.5000","0.2814","0.0031"
"3.6000","0.2899","0.0032"
"3.7000","0.2968","0.0033"
"3.8000","0.3049","0.0034"
"3.9000","0.3138","0.0035"
"4.0000","0.3230","0.0036"
"4.1000","0.3310","0.0037"
"4.2000","0.3400","0.0038"
"4.3000","0.3471","0.0039"
"4.4000","0.3552","0.0040"
"4.5000","0.3642","0.0042"
"4.6000","0.3730","0.0043"
"4.7000","0.3808","0.0044"
"4.8000","0.3899","0.0045"
"4.9000","0.3973","0.0046"
"5.0000","0.4049","0.0047"
"5.1000","0.4134","0.0048"
"5.2000","0.4228","0.0050"
"5.3000","0.4315","0.0051"
"5.4000","0.4404","0.0053"
"5.5000","0.4480","0.0054"
"5.6000","0.4550","0.0055"
"5.7000","0.4636","0.0056"
"5.8000","0.4734","0.0058"
"5.9000","0.4818","0.0059"
"6.0000","0.4898","0.0060"
"6.1000","0.4981","0.0061"
"6.2000","0.5051","0.0062"
"6.3000","0.5139","0.0064"
"6.4000","0.5230","0.0065"
"6.5000","0.5319","0.0067"
"6.6000","0.5394","0.0068"
"6.7000","0.5478","0.0069"
"6.8000","0.5549","0.0070"
"6.9000","0.5633","0.0072"
"7.0000","0.5724","0.0073"
"7.1000","0.5816","0.0075"
"7.2000","0.5893","0.0076"
"7.3000","0.5987","0.0077"
"7.4000","0.6061","0.0079"
"7.5000","0.6138","0.0080"
"7.6000","0.6220","0.0081"
"7.7000","0.6309","0.0083"
"7.8000","0.6396","0.0084"
"7.9000","0.6484","0.0086"
"8.0000","0.6564","0.0087"
"8.1000","0.6633","0.0088"
"8.2000","0.6717","0.0090"
"8.3000","0.6808","0.0091"
"8.4000","0.6896","0.0093"
"8.5000","0.6982","0.0094"
"8.6000","0.7065","0.0096"
"8.7000","0.7135","0.0097"
"8.8000","0.7219","0.0098"
"8.9000","0.7310","0.0100"
"9.0000","0.7401","0.0101"
"9.1000","0.7476","0.0102"
"9.2000","0.7564","0.0104"
"9.3000","0.7638","0.0105"
"9.4000","0.7722","0.0107"
"9.5000","0.7813","0.0108"
"9.6000","0.7904","0.0110"
"9.7000","0.7979","0.0111"
"9.8000","0.8068","0.0112"
"9.9000","0.8142","0.0114"
"10.0000","0.8219","0.0115"
"10.1000","0.8304","0.0117"
"10.2000","0.8400","0.0118"
"10.3000","0.8480","0.0120"
"10.4000","0.8561","0.0121"
"10.5000","0.8642","0.0122"
"10.6000","0.8712","0.0124"
"10.7000","0.8799","0.0125"
"10.8000","0.8897","0.0127"
"10.9000","0.8984","0.0128"
"11.0000","0.9066","0.0130"
"11.1000","0.9150","0.0131"
"11.2000","0.9219","0.0132"
"11.3000","0.9305","0.0134"
"11.4000","0.9397","0.0136"
"11.5000","0.9487","0.0137"
"11.6000","0.9560","0.0138"
"11.7000","0.9643","0.0140"
"11.8000","0.9715","0.0141"
"11.9000","0.9800","0.0143"
"12.0000","0.9894","0.0144"
"12.1000","0.9983","0.0146"
"12.2000","1.0060","0.0147"
"12.3000","1.0150","0.0149"
"12.4000","1.0225","0.0150"
"12.5000","1.0300","0.0152"
"12.6000","1.0385","0.0153"
"12.7000","1.0481","0.0155"
"12.8000","1.0564","0.0156"
