Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.2537","0.0000"
"0.0200","0.2532","0.0000"
"0.0400","0.2426","0.0000"
"0.0600","0.2003","0.0000"
"0.0800","0.1337","0.0000"
"0.1000","0.0678","0.0000"
"0.1200","0.0090","0.0000"
"0.1400","-0.0472","0.0000"
"0.1600","-0.1042","0.0000"
"0.1800","-0.1631","0.0000"
"0.2000","-0.2227","0.0000"
"0.2200","-0.2819","0.0000"
"0.2400","-0.3409","0.0000"
"0.2600","-0.3998","0.0000"
"0.2800","-0.4592","0.0000"
"0.3000","-0.5192","0.0000"
"0.3200","-0.5790","0.0000"
"0.3400","-0.6380","0.0000"
"0.3600","-0.6973","0.0000"
"0.3800","-0.7570","0.0000"
"0.4000","-0.8172","0.0000"
"0.4200","-0.8771","0.0000"
"0.4400","-0.9367","0.0000"
"0.4600","-0.9964","0.0000"
"0.4800","-1.0560","-0.0001"
"0.5000","-1.1162","-0.0001"
"0.5200","-1.1764","-0.0001"
"0.5400","-1.2362","-0.0002"
"0.5600","-1.2960","-0.0002"
"0.5800","-1.3558","-0.0003"
"0.6000","-1.4166","-0.0004"
"0.6200","-1.4768","-0.0004"
"0.6400","-1.5363","-0.0005"
"0.6600","-1.5963","-0.0005"
"0.6800","-1.6562","-0.0006"
"0.7000","-1.7164","-0.0006"
"0.7200","-1.7767","-0.0007"
"0.7400","-1.8364","-0.0008"
"0.7600","-1.8962","-0.0008"
"0.7800","-1.9558","-0.0009"
"0.8000","-2.0155","-0.0010"
"0.8200","-2.0757","-0.0011"
"0.8400","-2.1357","-0.0011"
"0.8600","-2.1958","-0.0012"
"0.8800","-2.2558","-0.0013"
"0.9000","-2.3154","-0.0014"
"0.9200","-2.3758","-0.0015"
"0.9400","-2.4361","-0.0016"
"0.9600","-2.4961","-0.0017"
"0.9800","-2.5560","-0.0018"
"1.0000","-2.6158","-0.0019"
"1.0200","-2.6763","-0.0020"
"1.0400","-2.7367","-0.0021"
"1.0600","-2.7968","-0.0022"
"1.0800","-2.8568","-0.0022"
"1.1000","-2.9162","-0.0023"
"1.1200","-2.9758","-0.0024"
"1.1400","-3.0363","-0.0025"
"1.1600","-3.0964","-0.0026"
"1.1800","-3.1561","-0.0027"
"1.2000","-3.2157","-0.0028"
"1.2200","-3.2756","-0.0029"
"1.2400","-3.3360","-0.0029"
"1.2600","-3.3961","-0.0030"
"1.2800","-3.4558","-0.0031"
"1.3000","-3.5154","-0.0032"
"1.3200","-3.5754","-0.0033"
