Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1000","0.0005","0.0000"
"0.2000","0.0023","0.0000"
"0.3000","0.0077","0.0000"
"0.4000","0.0147","0.0000"
"0.5000","0.0246","0.0000"
"0.6000","0.0316","0.0000"
"0.7000","0.0397","0.0000"
"0.8000","0.0484","0.0000"
"0.9000","0.0572","0.0000"
"1.0000","0.0660","0.0000"
"1.1000","0.0756","0.0000"
"1.2000","0.0822","0.0000"
"1.3000","0.0900","0.0000"
"1.4000","0.0987","0.0000"
"1.5000","0.1079","0.0000"
"1.6000","0.1163","0.0000"
"1.7000","0.1255","0.0001"
"1.8000","0.1327","0.0001"
"1.9000","0.1402","0.0001"
"2.0000","0.1490","0.0000"
"2.1000","0.1579","0.0001"
"2.2000","0.1664","0.0001"
"2.3000","0.1746","0.0001"
"2.4000","0.1829","0.0001"
"2.5000","0.1903","0.0001"
"2.6000","0.1995","0.0001"
"2.7000","0.2082","0.0001"
"2.8000","0.2163","0.0001"
"2.9000","0.2247","0.0001"
"3.0000","0.2341","0.0001"
"3.1000","0.2410","0.0001"
"3.2000","0.2493","0.0001"
"3.3000","0.2572","0.0001"
"3.4000","0.2657","0.0001"
"3.5000","0.2742","0.0001"
"3.6000","0.2835","0.0001"
"3.7000","0.2903","0.0001"
"3.8000","0.2983","0.0001"
"3.9000","0.3071","0.0001"
"4.0000","0.3166","0.0001"
"4.1000","0.3250","0.0001"
"4.2000","0.3344","0.0001"
"4.3000","0.3415","0.0001"
"4.4000","0.3490","0.0001"
"4.5000","0.3575","0.0001"
"4.6000","0.3660","0.0001"
"4.7000","0.3744","0.0001"
"4.8000","0.3832","0.0001"
"4.9000","0.3915","0.0001"
"5.0000","0.3986","0.0002"
"5.1000","0.4073","0.0001"
"5.2000","0.4158","0.0002"
"5.3000","0.4243","0.0002"
"5.4000","0.4327","0.0002"
"5.5000","0.4421","0.0002"
"5.6000","0.4491","0.0002"
"5.7000","0.4574","0.0002"
"5.8000","0.4654","0.0002"
"5.9000","0.4745","0.0002"
"6.0000","0.4832","0.0002"
"6.1000","0.4928","0.0002"
"6.2000","0.4994","0.0002"
"6.3000","0.5072","0.0002"
"6.4000","0.5156","0.0002"
"6.5000","0.5246","0.0002"
"6.6000","0.5331","0.0002"
"6.7000","0.5422","0.0002"
"6.8000","0.5494","0.0002"
"6.9000","0.5566","0.0002"
"7.0000","0.5656","0.0002"
"7.1000","0.5746","0.0002"
"7.2000","0.5832","0.0002"
"7.3000","0.5919","0.0002"
"7.4000","0.5999","0.0002"
"7.5000","0.6069","0.0002"
"7.6000","0.6159","0.0002"
"7.7000","0.6246","0.0002"
"7.8000","0.6330","0.0002"
"7.9000","0.6412","0.0002"
"8.0000","0.6505","0.0003"
"8.1000","0.6573","0.0002"
"8.2000","0.6658","0.0002"
"8.3000","0.6739","0.0002"
"8.4000","0.6827","0.0003"
"8.5000","0.6914","0.0003"
"8.6000","0.7007","0.0003"
"8.7000","0.7073","0.0003"
"8.8000","0.7149","0.0003"
"8.9000","0.7233","0.0003"
"9.0000","0.7324","0.0003"
"9.1000","0.7410","0.0003"
"9.2000","0.7504","0.0003"
"9.3000","0.7578","0.0003"
"9.4000","0.7651","0.0003"
"9.5000","0.7739","0.0003"
"9.6000","0.7832","0.0003"
"9.7000","0.7917","0.0003"
"9.8000","0.8001","0.0003"
"9.9000","0.8082","0.0003"
"10.0000","0.8151","0.0003"
"10.1000","0.8241","0.0003"
"10.2000","0.8329","0.0003"
"10.3000","0.8414","0.0003"
"10.4000","0.8498","0.0003"
"10.5000","0.8592","0.0003"
"10.6000","0.8657","0.0003"
"10.7000","0.8740","0.0003"
"10.8000","0.8822","0.0003"
"10.9000","0.8910","0.0003"
"11.0000","0.8998","0.0003"
"11.1000","0.9092","0.0003"
"11.2000","0.9159","0.0003"
"11.3000","0.9235","0.0003"
"11.4000","0.9318","0.0003"
"11.5000","0.9411","0.0003"
"11.6000","0.9497","0.0003"
