Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0001"
"0.1000","0.0004","0.0000"
"0.2000","0.0017","0.0000"
"0.3000","0.0055","0.0001"
"0.4000","0.0122","0.0002"
"0.5000","0.0217","0.0005"
"0.6000","0.0284","0.0006"
"0.7000","0.0372","0.0009"
"0.8000","0.0472","0.0011"
"0.9000","0.0562","0.0013"
"1.0000","0.0640","0.0015"
"1.1000","0.0732","0.0017"
"1.2000","0.0799","0.0019"
"1.3000","0.0880","0.0021"
"1.4000","0.0963","0.0023"
"1.5000","0.1052","0.0025"
"1.6000","0.1133","0.0028"
"1.7000","0.1219","0.0030"
"1.8000","0.1294","0.0032"
"1.9000","0.1373","0.0034"
"2.0000","0.1464","0.0036"
"2.1000","0.1564","0.0039"
"2.2000","0.1642","0.0041"
"2.3000","0.1725","0.0044"
"2.4000","0.1801","0.0045"
"2.5000","0.1871","0.0047"
"2.6000","0.1959","0.0050"
"2.7000","0.2053","0.0052"
"2.8000","0.2138","0.0055"
"2.9000","0.2219","0.0057"
"3.0000","0.2308","0.0060"
"3.1000","0.2380","0.0061"
"3.2000","0.2465","0.0064"
"3.3000","0.2557","0.0067"
"3.4000","0.2641","0.0069"
"3.5000","0.2716","0.0072"
"3.6000","0.2806","0.0075"
"3.7000","0.2879","0.0077"
"3.8000","0.2960","0.0080"
"3.9000","0.3044","0.0083"
"4.0000","0.3138","0.0086"
"4.1000","0.3218","0.0089"
"4.2000","0.3310","0.0092"
"4.3000","0.3386","0.0094"
"4.4000","0.3465","0.0097"
"4.5000","0.3555","0.0101"
"4.6000","0.3649","0.0104"
"4.7000","0.3725","0.0107"
"4.8000","0.3810","0.0110"
"4.9000","0.3885","0.0113"
"5.0000","0.3957","0.0115"
"5.1000","0.4047","0.0118"
"5.2000","0.4141","0.0122"
"5.3000","0.4222","0.0125"
"5.4000","0.4300","0.0128"
"5.5000","0.4386","0.0131"
"5.6000","0.4457","0.0134"
"5.7000","0.4545","0.0137"
"5.8000","0.4639","0.0141"
"5.9000","0.4726","0.0145"
"6.0000","0.4806","0.0148"
"6.1000","0.4896","0.0151"
"6.2000","0.4964","0.0154"
"6.3000","0.5046","0.0157"
"6.4000","0.5129","0.0160"
"6.5000","0.5220","0.0164"
"6.6000","0.5302","0.0167"
"6.7000","0.5392","0.0171"
"6.8000","0.5466","0.0174"
"6.9000","0.5543","0.0177"
"7.0000","0.5632","0.0181"
"7.1000","0.5729","0.0185"
"7.2000","0.5806","0.0188"
"7.3000","0.5889","0.0192"
"7.4000","0.5965","0.0195"
"7.5000","0.6038","0.0197"
