Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1000","0.0003","0.0000"
"0.2000","0.0043","0.0000"
"0.3000","0.0116","0.0001"
"0.4000","0.0196","0.0003"
"0.5000","0.0291","0.0004"
"0.6000","0.0378","0.0005"
"0.7000","0.0470","0.0007"
"0.8000","0.0543","0.0008"
"0.9000","0.0620","0.0009"
"1.0000","0.0707","0.0010"
"1.1000","0.0799","0.0012"
"1.2000","0.0881","0.0013"
"1.3000","0.0968","0.0014"
"1.4000","0.1047","0.0015"
"1.5000","0.1117","0.0016"
"1.6000","0.1199","0.0017"
"1.7000","0.1288","0.0019"
"1.8000","0.1376","0.0020"
"1.9000","0.1460","0.0021"
"2.0000","0.1550","0.0023"
"2.1000","0.1621","0.0024"
"2.2000","0.1709","0.0025"
"2.3000","0.1798","0.0027"
"2.4000","0.1879","0.0029"
"2.5000","0.1953","0.0030"
"2.6000","0.2046","0.0032"
"2.7000","0.2118","0.0033"
"2.8000","0.2202","0.0035"
"2.9000","0.2292","0.0037"
"3.0000","0.2383","0.0039"
"3.1000","0.2461","0.0040"
"3.2000","0.2549","0.0043"
"3.3000","0.2624","0.0045"
"3.4000","0.2700","0.0046"
"3.5000","0.2787","0.0049"
"3.6000","0.2881","0.0051"
"3.7000","0.2962","0.0053"
"3.8000","0.3048","0.0055"
"3.9000","0.3126","0.0057"
"4.0000","0.3196","0.0058"
"4.1000","0.3282","0.0060"
"4.2000","0.3377","0.0063"
"4.3000","0.3465","0.0065"
"4.4000","0.3546","0.0067"
"4.5000","0.3634","0.0069"
"4.6000","0.3705","0.0070"
"4.7000","0.3788","0.0072"
"4.8000","0.3879","0.0075"
"4.9000","0.3966","0.0077"
"5.0000","0.4046","0.0079"
"5.1000","0.4137","0.0081"
"5.2000","0.4205","0.0083"
"5.3000","0.4287","0.0085"
"5.4000","0.4371","0.0087"
"5.5000","0.4466","0.0090"
"5.6000","0.4547","0.0092"
"5.7000","0.4632","0.0095"
"5.8000","0.4707","0.0097"
"5.9000","0.4783","0.0100"
"6.0000","0.4873","0.0103"
"6.1000","0.4970","0.0106"
"6.2000","0.5045","0.0108"
"6.3000","0.5128","0.0111"
"6.4000","0.5207","0.0113"
"6.5000","0.5279","0.0116"
"6.6000","0.5367","0.0119"
"6.7000","0.5463","0.0123"
"6.8000","0.5551","0.0126"
"6.9000","0.5631","0.0129"
"7.0000","0.5715","0.0132"
"7.1000","0.5784","0.0134"
"7.2000","0.5871","0.0138"
"7.3000","0.5962","0.0141"
"7.4000","0.6046","0.0145"
"7.5000","0.6122","0.0148"
"7.6000","0.6213","0.0152"
"7.7000","0.6286","0.0154"
"7.8000","0.6373","0.0158"
"7.9000","0.6460","0.0163"
"8.0000","0.6551","0.0167"
"8.1000","0.6628","0.0171"
"8.2000","0.6716","0.0177"
"8.3000","0.6789","0.0181"
"8.4000","0.6864","0.0186"
"8.5000","0.6956","0.0193"
"8.6000","0.7051","0.0200"
"8.7000","0.7132","0.0207"
"8.8000","0.7220","0.0215"
"8.9000","0.7297","0.0222"
"9.0000","0.7368","0.0229"
"9.1000","0.7452","0.0238"
"9.2000","0.7543","0.0248"
"9.3000","0.7629","0.0258"
"9.4000","0.7707","0.0266"
"9.5000","0.7795","0.0277"
"9.6000","0.7867","0.0285"
"9.7000","0.7954","0.0296"
"9.8000","0.8045","0.0308"
"9.9000","0.8133","0.0319"
"10.0000","0.8211","0.0329"
"10.1000","0.8305","0.0342"
"10.2000","0.8373","0.0350"
"10.3000","0.8454","0.0362"
"10.4000","0.8540","0.0374"
"10.5000","0.8633","0.0388"
"10.6000","0.8713","0.0399"
"10.7000","0.8804","0.0413"
"10.8000","0.8875","0.0422"
"10.9000","0.8949","0.0433"
"11.0000","0.9036","0.0447"
"11.1000","0.9126","0.0461"
"11.2000","0.9206","0.0473"
"11.3000","0.9296","0.0487"
"11.4000","0.9378","0.0500"
"11.5000","0.9450","0.0510"
"11.6000","0.9538","0.0525"
