Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1000","0.0000","0.0000"
"0.2000","0.0002","0.0000"
"0.3000","0.0004","0.0000"
"0.4000","0.0008","0.0000"
"0.5000","0.0020","0.0000"
"0.6000","0.0034","0.0000"
"0.7000","0.0051","0.0000"
"0.8000","0.0069","0.0000"
"0.9000","0.0086","0.0000"
"1.0000","0.0103","0.0000"
"1.1000","0.0119","0.0000"
"1.2000","0.0135","0.0000"
"1.3000","0.0152","0.0000"
"1.4000","0.0170","0.0000"
"1.5000","0.0188","0.0000"
"1.6000","0.0206","0.0000"
"1.7000","0.0224","0.0000"
"1.8000","0.0241","0.0000"
"1.9000","0.0257","0.0000"
"2.0000","0.0272","0.0000"
"2.1000","0.0287","0.0000"
"2.2000","0.0302","0.0000"
"2.3000","0.0317","0.0000"
"2.4000","0.0333","0.0000"
"2.5000","0.0350","0.0000"
"2.6000","0.0368","0.0000"
"2.7000","0.0386","0.0000"
"2.8000","0.0404","0.0000"
"2.9000","0.0421","0.0000"
"3.0000","0.0437","0.0000"
"3.1000","0.0453","0.0000"
"3.2000","0.0470","0.0000"
"3.3000","0.0488","0.0000"
"3.4000","0.0506","0.0000"
"3.5000","0.0525","0.0000"
"3.6000","0.0542","0.0000"
"3.7000","0.0559","0.0000"
"3.8000","0.0575","0.0000"
"3.9000","0.0591","0.0000"
"4.0000","0.0607","0.0000"
"4.1000","0.0623","0.0000"
"4.2000","0.0639","0.0000"
"4.3000","0.0655","0.0000"
"4.4000","0.0672","0.0000"
"4.5000","0.0689","0.0000"
"4.6000","0.0706","0.0000"
"4.7000","0.0723","0.0000"
"4.8000","0.0741","0.0000"
"4.9000","0.0758","0.0000"
"5.0000","0.0774","0.0000"
"5.1000","0.0790","0.0000"
"5.2000","0.0805","0.0000"
"5.3000","0.0820","0.0000"
"5.4000","0.0835","0.0000"
"5.5000","0.0851","0.0000"
"5.6000","0.0868","0.0000"
"5.7000","0.0885","0.0000"
"5.8000","0.0903","0.0000"
"5.9000","0.0921","0.0000"
"6.0000","0.0939","0.0000"
"6.1000","0.0955","0.0000"
"6.2000","0.0972","0.0000"
"6.3000","0.0988","0.0000"
"6.4000","0.1006","0.0000"
"6.5000","0.1024","0.0000"
"6.6000","0.1042","0.0000"
"6.7000","0.1059","0.0000"
"6.8000","0.1076","0.0000"
"6.9000","0.1092","0.0000"
"7.0000","0.1108","0.0000"
"7.1000","0.1123","0.0000"
"7.2000","0.1139","0.0000"
"7.3000","0.1154","0.0000"
"7.4000","0.1170","0.0000"
"7.5000","0.1186","0.0000"
"7.6000","0.1204","0.0000"
"7.7000","0.1222","0.0000"
"7.8000","0.1240","0.0000"
"7.9000","0.1258","0.0000"
"8.0000","0.1275","0.0000"
"8.1000","0.1292","0.0000"
"8.2000","0.1307","0.0000"
"8.3000","0.1323","0.0000"
"8.4000","0.1337","0.0000"
"8.5000","0.1353","0.0000"
"8.6000","0.1368","0.0000"
"8.7000","0.1384","0.0000"
"8.8000","0.1401","0.0000"
"8.9000","0.1419","0.0000"
"9.0000","0.1438","0.0000"
"9.1000","0.1456","0.0000"
"9.2000","0.1472","0.0000"
"9.3000","0.1488","0.0000"
"9.4000","0.1503","0.0000"
"9.5000","0.1520","0.0000"
"9.6000","0.1538","0.0000"
"9.7000","0.1556","0.0000"
"9.8000","0.1575","0.0000"
"9.9000","0.1592","0.0000"
"10.0000","0.1608","0.0000"
"10.1000","0.1624","0.0000"
"10.2000","0.1640","0.0000"
"10.3000","0.1656","0.0000"
"10.4000","0.1672","0.0000"
"10.5000","0.1688","0.0000"
"10.6000","0.1704","0.0000"
"10.7000","0.1721","0.0000"
"10.8000","0.1739","0.0000"
"10.9000","0.1756","0.0000"
"11.0000","0.1774","0.0000"
"11.1000","0.1791","0.0000"
"11.2000","0.1807","0.0000"
"11.3000","0.1824","0.0000"
"11.4000","0.1839","0.0000"
"11.5000","0.1854","0.0000"
"11.6000","0.1869","0.0000"
