Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1000","0.0001","0.0000"
"0.2000","0.0005","0.0000"
"0.3000","0.0011","0.0000"
"0.4000","0.0023","0.0000"
"0.5000","0.0047","0.0000"
"0.6000","0.0064","0.0000"
"0.7000","0.0091","0.0000"
"0.8000","0.0131","0.0000"
"0.9000","0.0173","0.0000"
"1.0000","0.0209","0.0000"
"1.1000","0.0244","0.0000"
"1.2000","0.0277","0.0001"
"1.3000","0.0309","0.0002"
"1.4000","0.0342","0.0003"
"1.5000","0.0374","0.0003"
"1.6000","0.0405","0.0003"
"1.7000","0.0437","0.0004"
"1.8000","0.0473","0.0006"
"1.9000","0.0511","0.0006"
"2.0000","0.0545","0.0005"
"2.1000","0.0580","0.0004"
"2.2000","0.0617","0.0006"
"2.3000","0.0653","0.0005"
"2.4000","0.0687","0.0006"
"2.5000","0.0717","0.0006"
"2.6000","0.0746","0.0006"
"2.7000","0.0778","0.0008"
"2.8000","0.0812","0.0009"
"2.9000","0.0848","0.0010"
"3.0000","0.0882","0.0011"
"3.1000","0.0911","0.0008"
"3.2000","0.0939","0.0007"
"3.3000","0.0972","0.0007"
"3.4000","0.1009","0.0007"
"3.5000","0.1044","0.0010"
"3.6000","0.1078","0.0014"
"3.7000","0.1114","0.0017"
"3.8000","0.1151","0.0023"
"3.9000","0.1185","0.0031"
"4.0000","0.1217","0.0038"
"4.1000","0.1247","0.0044"
"4.2000","0.1279","0.0051"
"4.3000","0.1314","0.0059"
"4.4000","0.1351","0.0068"
"4.5000","0.1386","0.0077"
"4.6000","0.1417","0.0086"
"4.7000","0.1445","0.0093"
"4.8000","0.1475","0.0102"
"4.9000","0.1509","0.0112"
"5.0000","0.1546","0.0123"
"5.1000","0.1579","0.0134"
"5.2000","0.1612","0.0147"
"5.3000","0.1647","0.0162"
"5.4000","0.1683","0.0177"
"5.5000","0.1717","0.0190"
"5.6000","0.1748","0.0207"
"5.7000","0.1779","0.0226"
"5.8000","0.1811","0.0246"
"5.9000","0.1846","0.0252"
"6.0000","0.1882","0.0281"
"6.1000","0.1915","0.0310"
"6.2000","0.1944","0.0336"
"6.3000","0.1972","0.0359"
"6.4000","0.2001","0.0389"
"6.5000","0.2037","0.0429"
"6.6000","0.2075","0.0463"
"6.7000","0.2112","0.0503"
"6.8000","0.2148","0.0543"
"6.9000","0.2186","0.0584"
"7.0000","0.2222","0.0623"
"7.1000","0.2254","0.0660"
"7.2000","0.2283","0.0697"
"7.3000","0.2314","0.0738"
"7.4000","0.2347","0.0783"
"7.5000","0.2384","0.0829"
"7.6000","0.2418","0.0870"
"7.7000","0.2448","0.0909"
"7.8000","0.2476","0.0943"
"7.9000","0.2504","0.0977"
"8.0000","0.2537","0.1018"
"8.1000","0.2575","0.1068"
"8.2000","0.2611","0.1112"
"8.3000","0.2644","0.1162"
"8.3970","0.2678","0.1213"
"8.4840","0.2710","0.1263"
"8.5790","0.2743","0.1313"
"8.6760","0.2774","0.1364"
"8.7760","0.2805","0.1412"
"8.8760","0.2835","0.1461"
"8.9670","0.2863","0.1511"
"9.0480","0.2891","0.1561"
"9.1310","0.2921","0.1611"
"9.2190","0.2952","0.1661"
"9.3190","0.2983","0.1707"
"9.4190","0.3012","0.1748"
"9.5190","0.3043","0.1794"
"9.5960","0.3070","0.1845"
"9.6710","0.3099","0.1895"
"9.7520","0.3129","0.1946"
"9.8410","0.3160","0.1996"
"9.9220","0.3189","0.2046"
"10.0030","0.3217","0.2097"
"10.1030","0.3250","0.2144"
"10.1980","0.3280","0.2194"
"10.2930","0.3309","0.2244"
"10.3920","0.3340","0.2294"
"10.4770","0.3368","0.2345"
"10.5550","0.3396","0.2395"
"10.6240","0.3422","0.2445"
"10.7050","0.3453","0.2495"
"10.7930","0.3483","0.2545"
"10.8910","0.3511","0.2596"
"10.9910","0.3540","0.2642"
"11.0790","0.3567","0.2693"
"11.1650","0.3596","0.2743"
"11.2540","0.3628","0.2793"
