Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1000","0.0001","0.0000"
"0.2000","0.0004","0.0000"
"0.3000","0.0015","0.0000"
"0.4000","0.0043","0.0000"
"0.5000","0.0071","0.0000"
"0.6000","0.0103","0.0000"
"0.7000","0.0141","0.0000"
"0.8000","0.0178","0.0000"
"0.9000","0.0212","0.0000"
"1.0000","0.0247","0.0000"
"1.1000","0.0285","0.0000"
"1.2000","0.0320","0.0000"
"1.3000","0.0352","0.0000"
"1.4000","0.0382","0.0000"
"1.5000","0.0413","0.0000"
"1.6000","0.0446","0.0000"
"1.7000","0.0481","0.0000"
"1.8000","0.0514","0.0000"
"1.9000","0.0545","0.0000"
"2.0000","0.0574","0.0000"
"2.1000","0.0604","0.0000"
"2.2000","0.0639","0.0000"
"2.3000","0.0677","0.0000"
"2.4000","0.0712","0.0000"
"2.5000","0.0746","0.0000"
"2.6000","0.0783","0.0000"
"2.7000","0.0821","0.0000"
"2.8000","0.0854","0.0000"
"2.9000","0.0884","0.0000"
"3.0000","0.0913","0.0000"
"3.1000","0.0945","0.0000"
"3.2000","0.0982","0.0000"
"3.3000","0.1019","0.0000"
"3.4000","0.1053","0.0000"
"3.5000","0.1082","0.0000"
"3.6000","0.1110","0.0000"
"3.7000","0.1141","0.0000"
"3.8000","0.1176","0.0000"
"3.9000","0.1212","0.0000"
"4.0000","0.1245","0.0000"
"4.1000","0.1280","0.0000"
"4.2000","0.1316","0.0000"
"4.3000","0.1352","0.0000"
"4.4000","0.1384","0.0000"
"4.5000","0.1415","0.0000"
"4.6000","0.1445","0.0000"
"4.7000","0.1478","0.0000"
"4.8000","0.1514","0.0000"
"4.9000","0.1551","0.0000"
"5.0000","0.1583","0.0000"
"5.1000","0.1612","0.0000"
"5.2000","0.1641","0.0000"
"5.3000","0.1674","0.0000"
"5.4000","0.1710","0.0000"
"5.5000","0.1745","0.0000"
"5.6000","0.1777","0.0000"
"5.7000","0.1813","0.0000"
"5.8000","0.1850","0.0000"
"5.9000","0.1884","0.0000"
"6.0000","0.1916","0.0000"
"6.1000","0.1946","0.0000"
"6.2000","0.1977","0.0000"
"6.3000","0.2012","0.0000"
"6.4000","0.2050","0.0000"
"6.5000","0.2086","0.0000"
"6.6000","0.2117","0.0000"
"6.7000","0.2145","0.0000"
"6.8000","0.2174","0.0000"
"6.9000","0.2208","0.0000"
"7.0000","0.2245","0.0000"
"7.1000","0.2279","0.0000"
"7.2000","0.2312","0.0000"
"7.3000","0.2348","0.0000"
"7.4000","0.2385","0.0000"
"7.5000","0.2419","0.0000"
"7.6000","0.2450","0.0000"
"7.7000","0.2480","0.0001"
"7.8000","0.2512","0.0001"
"7.9000","0.2547","0.0002"
"8.0000","0.2583","0.0002"
"8.1000","0.2617","0.0003"
"8.2000","0.2646","0.0003"
"8.3000","0.2675","0.0004"
"8.4000","0.2706","0.0006"
"8.5000","0.2742","0.0010"
"8.6000","0.2779","0.0015"
"8.7000","0.2814","0.0020"
"8.8000","0.2850","0.0027"
"8.9000","0.2887","0.0037"
"9.0000","0.2920","0.0049"
"9.1000","0.2952","0.0063"
"9.2000","0.2983","0.0080"
"9.3000","0.3014","0.0099"
"9.4000","0.3048","0.0124"
"9.5000","0.3084","0.0157"
"9.6000","0.3119","0.0195"
"9.7000","0.3150","0.0235"
"9.8000","0.3178","0.0277"
"9.9000","0.3207","0.0326"
"9.9840","0.3234","0.0376"
"10.0520","0.3259","0.0426"
"10.1160","0.3282","0.0477"
"10.1810","0.3304","0.0527"
"10.2460","0.3326","0.0577"
"10.3070","0.3346","0.0628"
"10.3650","0.3366","0.0678"
"10.4200","0.3385","0.0729"
"10.4720","0.3404","0.0779"
"10.5230","0.3422","0.0829"
"10.5750","0.3440","0.0879"
"10.6310","0.3459","0.0930"
"10.6870","0.3477","0.0980"
"10.7460","0.3495","0.1031"
"10.8050","0.3513","0.1081"
"10.8680","0.3533","0.1131"
"10.9340","0.3554","0.1181"
