Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1000","0.0001","0.0000"
"0.2000","0.0005","0.0000"
"0.3000","0.0011","0.0000"
"0.4000","0.0025","0.0000"
"0.5000","0.0048","0.0000"
"0.6000","0.0067","0.0000"
"0.7000","0.0101","0.0000"
"0.8000","0.0141","0.0000"
"0.9000","0.0173","0.0000"
"1.0000","0.0203","0.0000"
"1.1000","0.0237","0.0000"
"1.2000","0.0274","0.0000"
"1.3000","0.0309","0.0000"
"1.4000","0.0344","0.0000"
"1.5000","0.0382","0.0000"
"1.6000","0.0420","0.0000"
"1.7000","0.0455","0.0000"
"1.8000","0.0487","0.0000"
"1.9000","0.0518","0.0000"
"2.0000","0.0549","0.0000"
"2.1000","0.0584","0.0000"
"2.2000","0.0619","0.0000"
"2.3000","0.0654","0.0000"
"2.4000","0.0683","0.0000"
"2.5000","0.0711","0.0000"
"2.6000","0.0742","0.0000"
"2.7000","0.0779","0.0000"
"2.8000","0.0816","0.0000"
"2.9000","0.0849","0.0000"
"3.0000","0.0885","0.0000"
"3.1000","0.0923","0.0000"
"3.2000","0.0958","0.0000"
"3.3000","0.0990","0.0000"
"3.4000","0.1019","0.0000"
"3.5000","0.1049","0.0000"
"3.6000","0.1083","0.0000"
"3.7000","0.1120","0.0000"
"3.8000","0.1156","0.0000"
"3.9000","0.1188","0.0000"
"4.0000","0.1216","0.0000"
"4.1000","0.1245","0.0000"
"4.2000","0.1278","0.0000"
"4.3000","0.1315","0.0000"
"4.4000","0.1349","0.0000"
"4.5000","0.1381","0.0000"
"4.6000","0.1415","0.0000"
"4.7000","0.1451","0.0000"
"4.8000","0.1486","0.0000"
"4.9000","0.1519","0.0000"
"5.0000","0.1550","0.0000"
"5.1000","0.1582","0.0000"
"5.2000","0.1618","0.0000"
"5.3000","0.1656","0.0000"
"5.4000","0.1691","0.0000"
"5.5000","0.1722","0.0000"
"5.6000","0.1749","0.0000"
"5.7000","0.1778","0.0000"
"5.8000","0.1814","0.0000"
"5.9000","0.1852","0.0000"
"6.0000","0.1886","0.0000"
"6.1000","0.1920","0.0000"
"6.2000","0.1957","0.0000"
"6.3000","0.1994","0.0000"
"6.4000","0.2026","0.0000"
"6.5000","0.2055","0.0000"
"6.6000","0.2084","0.0000"
"6.7000","0.2116","0.0001"
"6.8000","0.2152","0.0001"
"6.9000","0.2187","0.0001"
"7.0000","0.2219","0.0002"
"7.1000","0.2248","0.0002"
"7.2000","0.2277","0.0002"
"7.3000","0.2309","0.0003"
"7.4000","0.2345","0.0004"
"7.5000","0.2381","0.0005"
"7.6000","0.2414","0.0007"
"7.7000","0.2448","0.0009"
"7.8000","0.2485","0.0010"
"7.9000","0.2522","0.0012"
"8.0000","0.2554","0.0016"
"8.1000","0.2583","0.0019"
"8.2000","0.2613","0.0025"
"8.3000","0.2647","0.0033"
"8.4000","0.2683","0.0042"
"8.5000","0.2720","0.0054"
"8.6000","0.2753","0.0066"
"8.7000","0.2781","0.0075"
"8.8000","0.2810","0.0088"
"8.9000","0.2844","0.0106"
"9.0000","0.2881","0.0129"
"9.1000","0.2917","0.0151"
"9.2000","0.2953","0.0174"
"9.3000","0.2990","0.0203"
"9.4000","0.3024","0.0229"
"9.5000","0.3055","0.0267"
"9.6000","0.3086","0.0312"
"9.7000","0.3117","0.0361"
"9.7850","0.3144","0.0411"
"9.8630","0.3170","0.0461"
"9.9370","0.3198","0.0511"
"10.0060","0.3223","0.0562"
"10.0610","0.3242","0.0613"
"10.1170","0.3260","0.0663"
"10.1780","0.3278","0.0714"
"10.2370","0.3294","0.0765"
"10.2930","0.3310","0.0815"
"10.3460","0.3325","0.0865"
"10.3950","0.3340","0.0916"
"10.4400","0.3355","0.0966"
"10.4790","0.3370","0.1017"
"10.5180","0.3384","0.1067"
"10.5570","0.3398","0.1119"
"10.5970","0.3412","0.1170"
"10.6380","0.3426","0.1221"
"10.6810","0.3439","0.1271"
"10.7230","0.3453","0.1322"
