Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0050","0.0000","0.0000"
"0.0060","0.0000","0.0000"
"0.0070","0.0000","0.0000"
"0.0270","0.0004","0.0000"
"0.0470","-0.0026","0.0000"
"0.0670","-0.0227","-0.0001"
"0.0870","-0.0736","-0.0002"
"0.1070","-0.1405","-0.0004"
"0.1270","-0.2036","-0.0006"
"0.1470","-0.2618","-0.0008"
"0.1670","-0.3198","-0.0011"
"0.1870","-0.3785","-0.0014"
"0.2070","-0.4374","-0.0018"
"0.2270","-0.4966","-0.0022"
"0.2470","-0.5556","-0.0027"
"0.2670","-0.6145","-0.0033"
"0.2870","-0.6740","-0.0040"
"0.3070","-0.7337","-0.0046"
"0.3270","-0.7934","-0.0054"
"0.3470","-0.8526","-0.0061"
"0.3670","-0.9121","-0.0070"
"0.3870","-0.9726","-0.0078"
"0.4070","-1.0322","-0.0086"
"0.4270","-1.0916","-0.0093"
"0.4470","-1.1514","-0.0101"
"0.4670","-1.2112","-0.0109"
"0.4870","-1.2711","-0.0116"
"0.5070","-1.3306","-0.0123"
"0.5270","-1.3906","-0.0130"
"0.5470","-1.4505","-0.0137"
"0.5670","-1.5107","-0.0144"
"0.5870","-1.5712","-0.0150"
"0.6070","-1.6312","-0.0157"
"0.6270","-1.6913","-0.0163"
"0.6470","-1.7513","-0.0170"
"0.6670","-1.8113","-0.0176"
"0.6870","-1.8713","-0.0182"
"0.7070","-1.9306","-0.0188"
"0.7270","-1.9904","-0.0194"
"0.7470","-2.0510","-0.0200"
"0.7670","-2.1112","-0.0205"
"0.7870","-2.1711","-0.0211"
"0.8070","-2.2308","-0.0216"
"0.8270","-2.2904","-0.0222"
"0.8470","-2.3506","-0.0227"
"0.8670","-2.4107","-0.0232"
"0.8870","-2.4708","-0.0237"
"0.9070","-2.5307","-0.0242"
"0.9270","-2.5903","-0.0247"
"0.9470","-2.6505","-0.0252"
"0.9670","-2.7106","-0.0257"
"0.9870","-2.7705","-0.0261"
"1.0070","-2.8305","-0.0266"
"1.0270","-2.8904","-0.0270"
"1.0470","-2.9506","-0.0274"
"1.0670","-3.0108","-0.0279"
"1.0870","-3.0709","-0.0283"
"1.1070","-3.1308","-0.0287"
"1.1270","-3.1906","-0.0292"
"1.1470","-3.2508","-0.0296"
"1.1670","-3.3109","-0.0300"
"1.1870","-3.3706","-0.0303"
"1.2070","-3.4304","-0.0307"
"1.2270","-3.4905","-0.0311"
"1.2470","-3.5503","-0.0315"
"1.2670","-3.6101","-0.0319"
"1.2870","-3.6701","-0.0323"
"1.3070","-3.7302","-0.0326"
"1.3270","-3.7900","-0.0330"
"1.3470","-3.8498","-0.0333"
"1.3670","-3.9102","-0.0337"
"1.3870","-3.9703","-0.0341"
"1.4070","-4.0306","-0.0344"
"1.4270","-4.0908","-0.0348"
"1.4470","-4.1504","-0.0351"
"1.4670","-4.2106","-0.0355"
"1.4870","-4.2707","-0.0359"
"1.5070","-4.3308","-0.0362"
"1.5270","-4.3909","-0.0365"
"1.5470","-4.4504","-0.0369"
"1.5670","-4.5106","-0.0372"
"1.5870","-4.5709","-0.0376"
"1.6070","-4.6309","-0.0379"
"1.6270","-4.6909","-0.0382"
"1.6470","-4.7505","-0.0386"
"1.6670","-4.8106","-0.0389"
"1.6870","-4.8707","-0.0393"
"1.7070","-4.9307","-0.0396"
"1.7270","-4.9907","-0.0400"
"1.7470","-5.0505","-0.0403"
"1.7670","-5.1104","-0.0406"
"1.7870","-5.1709","-0.0410"
"1.8070","-5.2306","-0.0410"
"1.8270","-5.2902","-0.0401"
"1.8470","-5.3508","-0.0394"
"1.8670","-5.4115","-0.0396"
"1.8870","-5.4718","-0.0399"
"1.9070","-5.5316","-0.0404"
"1.9270","-5.5913","-0.0411"
"1.9470","-5.6512","-0.0417"
"1.9670","-5.7110","-0.0422"
"1.9870","-5.7714","-0.0427"
"2.0070","-5.8315","-0.0431"
"2.0270","-5.8910","-0.0435"
