Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1000","0.0001","0.0000"
"0.2000","0.0007","0.0000"
"0.3000","0.0033","0.0000"
"0.4000","0.0061","0.0000"
"0.5000","0.0095","0.0000"
"0.6000","0.0133","0.0000"
"0.7000","0.0169","0.0000"
"0.8000","0.0199","0.0000"
"0.9000","0.0227","0.0000"
"1.0000","0.0259","0.0000"
"1.1000","0.0297","0.0000"
"1.2000","0.0334","0.0000"
"1.3000","0.0367","0.0000"
"1.4000","0.0401","0.0000"
"1.5000","0.0438","0.0000"
"1.6000","0.0474","0.0000"
"1.7000","0.0505","0.0000"
"1.8000","0.0536","0.0000"
"1.9000","0.0566","0.0000"
"2.0000","0.0600","0.0000"
"2.1000","0.0637","0.0000"
"2.2000","0.0672","0.0000"
"2.3000","0.0703","0.0000"
"2.4000","0.0731","0.0000"
"2.5000","0.0761","0.0000"
"2.6000","0.0793","0.0000"
"2.7000","0.0830","0.0000"
"2.8000","0.0864","0.0000"
"2.9000","0.0897","0.0000"
"3.0000","0.0933","0.0000"
"3.1000","0.0971","0.0000"
"3.2000","0.1006","0.0000"
"3.3000","0.1038","0.0000"
"3.4000","0.1067","0.0000"
"3.5000","0.1098","0.0000"
"3.6000","0.1133","0.0000"
"3.7000","0.1169","0.0000"
"3.8000","0.1203","0.0000"
"3.9000","0.1234","0.0000"
"4.0000","0.1262","0.0000"
"4.1000","0.1293","0.0000"
"4.2000","0.1327","0.0000"
"4.3000","0.1364","0.0000"
"4.4000","0.1398","0.0000"
"4.5000","0.1432","0.0000"
"4.6000","0.1469","0.0000"
"4.7000","0.1504","0.0000"
"4.8000","0.1538","0.0000"
"4.9000","0.1569","0.0000"
"5.0000","0.1598","0.0000"
"5.1000","0.1631","0.0000"
"5.2000","0.1667","0.0000"
"5.3000","0.1705","0.0000"
"5.4000","0.1739","0.0000"
"5.5000","0.1767","0.0000"
"5.6000","0.1795","0.0000"
"5.7000","0.1828","0.0000"
"5.8000","0.1865","0.0000"
"5.9000","0.1900","0.0000"
"6.0000","0.1932","0.0000"
"6.1000","0.1966","0.0000"
"6.2000","0.2002","0.0000"
"6.3000","0.2037","0.0000"
"6.4000","0.2070","0.0000"
"6.5000","0.2100","0.0000"
"6.6000","0.2131","0.0000"
"6.7000","0.2166","0.0000"
"6.8000","0.2204","0.0000"
"6.9000","0.2239","0.0000"
"7.0000","0.2269","0.0000"
"7.1000","0.2296","0.0000"
"7.2000","0.2325","0.0000"
"7.3000","0.2360","0.0000"
"7.4000","0.2397","0.0000"
"7.5000","0.2431","0.0000"
"7.6000","0.2464","0.0000"
"7.7000","0.2499","0.0000"
"7.8000","0.2536","0.0001"
"7.9000","0.2571","0.0000"
"8.0000","0.2602","0.0001"
"8.1000","0.2633","0.0001"
"8.2000","0.2666","0.0001"
"8.3000","0.2702","0.0001"
"8.4000","0.2738","0.0001"
"8.5000","0.2771","0.0003"
"8.6000","0.2800","0.0015"
"8.7000","0.2828","0.0027"
"8.8000","0.2859","0.0041"
"8.9000","0.2895","0.0058"
"9.0000","0.2932","0.0083"
"9.1000","0.2965","0.0107"
"9.2000","0.2999","0.0134"
"9.3000","0.3035","0.0164"
"9.4000","0.3070","0.0187"
"9.5000","0.3103","0.0200"
"9.6000","0.3134","0.0206"
"9.7000","0.3165","0.0211"
"9.8000","0.3198","0.0214"
"9.9000","0.3234","0.0218"
"10.0000","0.3271","0.0222"
"10.1000","0.3303","0.0224"
"10.2000","0.3332","0.0227"
"10.3000","0.3361","0.0229"
"10.4000","0.3394","0.0232"
"10.5000","0.3431","0.0234"
"10.6000","0.3467","0.0237"
"10.7000","0.3501","0.0239"
"10.8000","0.3536","0.0241"
"10.9000","0.3573","0.0244"
"11.0000","0.3607","0.0246"
"11.1000","0.3639","0.0248"
"11.2000","0.3669","0.0252"
"11.3000","0.3701","0.0256"
"11.4000","0.3735","0.0266"
"11.5000","0.3771","0.0280"
"11.6000","0.3806","0.0295"
